CreditScore,Age,AnnualIncome,DebtToIncomeRatio,LoanAmount
402,19,183068,0.42,24136
735,26,49204,0.31,1945
570,60,37152,0.93,20812
406,53,110555,0.38,8973
371,39,39689,0.76,24552
320,39,103251,0.53,15118
421,39,126565,0.7,12290
766,51,173014,0.26,26123
514,46,58712,0.94,17383
630,55,69632,0.53,11366
758,63,189103,0.83,2797
387,50,40478,0.37,27456
672,35,42551,0.1,45016
399,24,68068,0.67,22427
430,18,113608,0.01,3257
608,50,55561,0.48,3197
643,18,153964,0.19,9222
791,41,44395,0.63,26187
713,21,38756,0.98,15152
685,21,185723,0.46,21781
491,35,86333,0.82,36680
576,44,172418,0.51,12004
460,60,133561,0.5,42642
759,49,48024,0.93,26515
613,50,191890,0.89,16416
321,45,25947,0.79,7152
552,59,147192,0.3,8172
774,58,114238,0.55,4185
358,53,87428,0.22,26352
810,23,180826,0.44,31743
775,33,83355,0.48,32212
489,51,149958,0.83,27618
543,40,164490,0.9,10161
804,67,155905,0.41,49533
430,59,192905,0.02,18467
784,41,151637,0.86,22589
320,66,191252,0.17,38630
466,30,38402,0.62,4070
573,35,193917,0.02,45708
687,30,95851,0.4,9563
615,66,32834,0.99,26254
313,54,87850,0.1,48699
541,60,57180,0.42,17585
645,56,154955,0.31,31297
639,59,129688,0.91,15772
391,34,126520,0.87,15455
666,32,31695,0.24,7299
754,35,147135,0.08,11188
727,40,174195,0.63,46454
808,68,78481,0.34,47779
334,47,93438,0.67,25763
505,51,131491,0.03,33517
380,21,168645,0.13,22555
687,20,141844,0.69,30323
301,24,114910,0.21,18938
689,35,76494,0.86,22983
405,59,163360,0.06,13874
776,24,66978,0.22,25805
701,57,137845,1,47209
461,23,150621,0.43,33822
501,39,74672,0.7,21750
569,18,81821,0.18,37799
570,21,103661,0.61,43083
755,63,89224,0.73,28946
761,66,109405,0.31,2552
551,69,74796,0.83,31049
595,67,195778,0.6,8795
637,60,148554,0.39,6271
352,46,143777,0.56,15665
516,38,24023,0.58,1115
487,43,187807,0.17,37381
679,31,92959,0.4,29994
792,26,59218,0.34,28186
340,64,163285,0.4,31267
456,29,48460,0.76,40140
